2;LM;16;org.apache.xerces.jaxp.validation.ValidatorHandlerImpl - Linha: 683;;x
2;LM;17;org.apache.xerces.parsers.AbstractDOMParser - Linha: 1511;;x
2;LM;18;org.apache.xerces.parsers.ObjectFactory - Linha: 122;;x
2;LM;19;org.apache.xerces.xinclude.XIncludeHandler - Linha: 1988;x;
2;LM;20;org.apache.xerces.xpointer.XPointerHandler - Linha: 133;;x
3;LPL;1;org.apache.xerces.jaxp.datatype.DatatypeFactoryImpl - Linha: 371;x;
3;LPL;2;org.apache.xerces.dom.events.MouseEventImpl - Linha: 86;x;
3;LPL;3;org.apache.xerces.dom.events.MutationEventImpl - Linha: 102;x;
3;LPL;4;org.apache.xerces.impl.dtd.XMLEntityDecl - Linha: 89;x;
3;LPL;5;org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl - Linha: 321;x;
3;LPL;6;org.apache.xerces.impl.xs.opti.DefaultXMLDocumentHandler - Linha: 537;x;
3;LPL;7;org.apache.xerces.impl.xs.SchemaGrammar - Linha: 1185;x;
3;LPL;8;org.apache.xerces.impl.xs.XSComplexTypeDecl - Linha: 106;x;
3;LPL;9;org.apache.xerces.impl.xs.XSConstraints - Linha: 1215;x;
3;LPL;10;org.apache.xerces.impl.xs.XSConstraints - Linha: 1295;x;
3;LPL;11;org.apache.xerces.impl.xs.XSConstraints - Linha: 1347;x;
3;LPL;12;org.apache.xerces.jaxp.datatype.XMLGregorianCalendarImpl - Linha: 531;x;
3;LPL;13;org.apache.xerces.jaxp.datatype.XMLGregorianCalendarImpl - Linha: 604;x;
3;LPL;14;org.apache.xerces.jaxp.datatype.XMLGregorianCalendarImpl - Linha: 756;x;
3;LPL;15;org.apache.xerces.jaxp.datatype.XMLGregorianCalendarImpl - Linha: 834;x;
3;LPL;16;org.apache.xerces.parsers.AbstractSAXParser - Linha: 912;x;
3;LPL;17;org.apache.xerces.parsers.AbstractXMLDocumentParser - Linha: 505;x;
3;LPL;18;org.apache.xerces.parsers.DOMParserImpl - Linha: 1288;x;
3;LPL;19;org.apache.xerces.parsers.DTDParser - Linha: 218;x;
3;LPL;20;org.apache.xerces.xinclude.XIncludeHandler - Linha: 1169;x;
3;FE;1;org.apache.xerces.impl.XMLEntityScanner###- skipString(String s) : boolean;;x
3;FE;2;org.apache.xerces.impl.xs.opti.SchemaDOM###- processElement(QName element, XMLAttributes attributes, ElementImpl node) : void;;x
3;FE;3;org.apache.xerces.impl.XMLEntityScanner###- skipSpaces() : boolean;x;
3;FE;4;org.apache.xerces.parsers.AbstractSAXParser###- parse(InputSource inputSource) : void;x;
3;FE;5;org.apache.xerces.impl.dtd.DTDGrammar###- getElementDecl(int elementDeclIndex, XMLElementDecl elementDecl) : boolean;x;
3;FE;6;org.apache.xerces.impl.dv.xs.YearDV###- parse(String str) : DateTimeData;;x
3;FE;7;org.apache.xerces.impl.XML11EntityScanner###- scanChar() : int;x;
3;FE;8;org.apache.xerces.impl.XMLEntityScanner###- skipDeclSpaces() : boolean;x;
3;FE;9;org.apache.xerces.impl.dv.xs.DurationDV###- addDuration(DateTimeData date, DateTimeData addto, DateTimeData duration) : DateTimeData;x;
3;FE;10;org.apache.xerces.impl.xs.XSConstraints###- gatherChildren(int parentType, XSParticleDecl p, Vector children) : void;x;
3;FE;11;org.apache.xerces.impl.XMLEntityScanner###- scanData(String delimiter, XMLStringBuffer buffer) : boolean;x;
3;FE;12;org.apache.xerces.impl.XML11EntityScanner###- scanLiteral(int quote, XMLString content) : int;x;
3;FE;13;org.apache.xerces.impl.XMLEntityScanner###- scanChar() : int;x;
3;FE;14;org.apache.xml.serialize.HTMLSerializer###- serializeElement(Element elem) : void;;x
3;FE;15;org.apache.xerces.impl.XML11EntityScanner###- skipString(String s) : boolean;x;
3;FE;16;org.apache.xml.serialize.XMLSerializer###- startDocument(String rootTagName) : void;;x
3;FE;17;org.apache.xml.serialize.DOMSerializerImpl###- copySettings(XMLSerializer src, XMLSerializer dest) : void;x;
3;FE;18;org.apache.xerces.impl.XMLEntityScanner###- load(int offset, boolean changeEntity) : boolean;x;
3;FE;19;org.apache.xerces.impl.xpath.regex.RangeToken###- toString(int options) : String;x;
3;FE;20;org.apache.xerces.impl.XML11EntityScanner###- scanContent(XMLString content) : int;x;
3;GC;1;org.apache.xerces.impl.xs.XMLSchemaValidator;x;
3;GC;2;org.apache.xerces.dom.AttrImpl;x;
3;GC;3;org.apache.xerces.dom.DOMNormalizer;;x
3;GC;4;org.apache.xerces.impl.dtd.XMLDTDProcessor;x;
3;GC;5;org.apache.xerces.impl.dtd.XMLDTDValidator;;x
3;GC;6;org.apache.xerces.impl.XML11EntityScanner;;x
3;GC;7;org.apache.xerces.impl.XMLDTDScannerImpl;;X
3;GC;8;org.apache.xerces.impl.xs.SchemaDOM;;x
3;GC;9;org.apache.xerces.impl.xs.SchemaGrammar;x;
3;GC;10;org.apache.xerces.impl.xs.SubstitutionGroupHandler;;x
3;GC;11;org.apache.xerces.impl.xs.traversers.XSAttributeChecker;x;
3;GC;12;org.apache.xerces.impl.xs.traversers.XSDAttributeTraverser;;x
3;GC;13;org.apache.xerces.impl.xs.traversers.XSDElementTraverser;;x
3;GC;14;org.apache.xerces.impl.xs.traversers.XSDHandler;x;
3;GC;15;org.apache.xerces.impl.xs.XMLSchemaLoader;;x
3;GC;16;org.apache.xerces.impl.xs.XSAttributeGroupDecl;;x
3;GC;17;org.apache.xerces.impl.xs.XSConstraints;;x
3;GC;18;org.apache.xml.serialize.BaseMarkupSerializer;;x
3;GC;19;org.apache.xml.serialize.HTMLSerializer;;x
3;GC;20;org.apache.xml.serialize.XML11Serializer;;x
3;LM;1;org.apache.xml.serialize.HTMLSerializer - Linha: 626;;x
3;LM;2;org.apache.xerces.impl.XMLDocumentFragmentScannerImpl - Linha: 1591;x;
3;LM;3;org.apache.xerces.dom.NodeIteratorImpl - Linha: 129;;x
3;LM;4;org.apache.xerces.impl.xs.opti.SchemaDOM - Linha: 89;;x
