Type,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Method,Private Method - model.user.User.encryptPassword,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - repository.AbstractRepositoryTest.getRemoteMongoDb,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - repository.BatchRepository.buildAdvancedQuery,,,,,,,,,,,,,,,,,,,,,,,,,3,23,1,20,2,16,2,9,1,0,11,13,2,11,1,1,1,1,0,,,,,0,,1,0,,0.10,,,,
Method,Private Method - repository.BatchRepository.buildAdvancedQuery.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,2,0,2,0,2,1,0,1,1,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - repository.BatchRepository.buildAdvancedQuery.(lambda_expr_2),,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,8,0,6,0,4,2,0,2,3,0,3,2,2,3,1,1,,,,,0,,0,0,,0.00,,,,
Method,Private Method - repository.BatchRepository.buildBatchFieldsQuery,,,,,,,,,,,,,,,,,,,,,,,,,1,32,0,32,6,23,0,5,1,0,13,20,6,14,1,1,1,1,0,,,,,0,,2,0,,0.00,,,,
Method,Private Method - repository.BatchRepository.buildBatchFieldsQuery.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,4,27,0,27,4,20,0,10,7,1,10,16,4,12,7,7,8,1,3,,,,,0,,0,0,,0.00,,,,
Method,Private Method - repository.BatchRepository.buildBatchNameQuery,,,,,,,,,,,,,,,,,,,,,,,,,3,29,4,25,11,21,0,11,4,1,18,21,10,11,3,3,3,1,0,,,,,0,,1,0,,0.00,,,,
Method,Private Method - repository.BatchRepository.buildSortQuery,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,9,2,5,0,7,2,0,5,7,2,5,2,2,4,1,1,,,,,0,,1,0,,0.00,,,,
Method,Private Method - repository.BatchRepository.countPages,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,1,3,0,1,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
