Type,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Method,Private Method - br.com.goclip.model.CampoValor.parseValue,,,,,,,,,,,,,,,,,,,,,,,,,3,22,1,21,5,16,2,5,5,1,9,14,5,9,5,5,8,5,6,,,,,6,,3,6,,0.10,,,,
Method,Private Method - br.com.goclip.model.CampoValor.suggestValue.(for_loop_1).(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.CampoValor.suggestValue.(for_loop_1).(lambda_expr_2),,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.Category.checkPermissions.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.Category.checkPermissions.(lambda_expr_2),,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.Category.getAllDateTypeFields.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.CategoryTest.shouldCorrectlyUpdateCategoryFieldsWithRepeatedIds.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.DocumentApprovalTest.shouldApproveDocument.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.DocumentApprovalTest.shouldReproveDocument.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.DocumentIntegrationTest.shouldFilterNotApprovedDocs.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
